UK Food,US Matches
"Pork, spare rib slices, grilled, lean and fat","Pork, spareribs, cooked, lean and fat eaten(75.0% match #22701010); Pork, spareribs, cooked, lean only eaten(70.59% match #22701020); Pork, spareribs, barbecued, with sauce, lean and fat eaten(66.02% match #22701040); "
"Pork, spare rib slices, raw, lean and fat, weighed with bone","Pork, spareribs, cooked, lean and fat eaten(67.96% match #22701010); Pork, spareribs, barbecued, with sauce, lean and fat eaten(62.71% match #22701040); "
"Pork, spare ribs, raw, lean and fat","Pork, spareribs, cooked, lean and fat eaten(79.49% match #22701010); Pork, spareribs, cooked, lean only eaten(74.67% match #22701020); Pork, spareribs, barbecued, with sauce, lean and fat eaten(70.97% match #22701040); "
"Pork, spare rib joint, pot-roasted, lean and fat","Pork, spareribs, cooked, lean and fat eaten(74.73% match #22701010); Pork, spareribs, cooked, lean only eaten(70.45% match #22701020); Pork, spareribs, barbecued, with sauce, lean and fat eaten(62.26% match #22701040); "
"Pork, spare rib joint, pot-roasted, lean","Pork, spareribs, cooked, lean only eaten(65.0% match #22701020); "
"Pork, spare rib joint, raw, lean and fat","Pork, spareribs, cooked, lean and fat eaten(72.29% match #22701010); Pork, spareribs, cooked, lean only eaten(67.5% match #22701020); Pork, spareribs, barbecued, with sauce, lean and fat eaten(65.31% match #22701040); "
"Pork, spare rib chops, braised, lean and fat","Pork, spareribs, cooked, lean and fat eaten(75.86% match #22701010); Pork, spareribs, cooked, lean only eaten(71.43% match #22701020); Pork, spareribs, barbecued, with sauce, lean and fat eaten(68.63% match #22701040); "
"Pork, loin chops, frozen, grilled, lean","Pork chop, fried, lean only eaten(61.11% match #22101220); "
"Pork, chump chops, raw, lean and fat","Pork chop, fried, lean and fat eaten(72.22% match #22101210); Pork chop, stewed, lean and fat eaten(71.23% match #22101510); Pork chop, stewed, lean only eaten(65.71% match #22101520); "
"Pork, trimmed lean, raw","Peas, green, raw(61.54% match #75120000); "
"Pork, diced, kebabs, grilled, lean",
"Pork, diced, casseroled, lean and fat","Pork, spareribs, cooked, lean and fat eaten(67.5% match #22701010); Pork roast, shoulder, cooked, lean and fat eaten(65.88% match #22411010); Pork roast, smoked or cured, cooked, lean and fat eaten(65.22% match #22421010); "
"Pork, diced, raw, lean",
"Pork, loin chops, barbecued, lean and fat","Pork chop, fried, lean and fat eaten(72.73% match #22101210); Pork chop, stewed, lean and fat eaten(71.79% match #22101510); Lamb, loin chop, cooked, lean and fat eaten(71.43% match #23104010); "
"Pork, chump steaks, fried, lean and fat","Pork chop, fried, lean and fat eaten(77.33% match #22101210); Pork chop, battered, fried, lean and fat eaten(75.29% match #22101410); Pork chop, stewed, lean and fat eaten(73.68% match #22101510); "
"Pork, chump steaks, raw, lean and fat","Pork chop, stewed, lean and fat eaten(72.97% match #22101510); Pork chop, stewed, lean only eaten(67.61% match #22101520); Pork steak or cutlet, fried, lean and fat eaten(64.29% match #22201210); "
"Pork, chump chops, fried, lean and fat, weighed with bone","Pork chop, fried, lean and fat eaten(73.12% match #22101210); Pork chop, battered, fried, lean and fat eaten(66.02% match #22101410); Pork chop, stewed, lean and fat eaten(65.96% match #22101510); "
"Pork, diced, kebabs, grilled, lean and fat","Pork chop, battered, fried, lean and fat eaten(63.64% match #22101410); Pork, spareribs, cooked, lean and fat eaten(63.53% match #22701010); Pork roast, loin, cooked, lean and fat eaten(60.47% match #22401010); "
"Pork, chump chops, raw, lean and fat, weighed with bone","Pork chop, fried, lean and fat eaten(65.93% match #22101210); Pork chop, stewed, lean and fat eaten(65.22% match #22101510); "
"Pork, diced, raw, lean and fat","Pork chop, fried, lean and fat eaten(69.7% match #22101210); Pork chop, battered, fried, lean and fat eaten(65.79% match #22101410); Pork, spareribs, cooked, lean and fat eaten(65.75% match #22701010); "
"Pork, belly joint/slices, grilled, lean and fat","Pork, NS as to cut, fried, lean and fat eaten(63.04% match #22000210); Pork chop, battered, fried, lean and fat eaten(62.37% match #22101410); Pork roast, loin, cooked, lean and fat eaten(61.54% match #22401010); "
"Pork, belly joint, roasted, lean and fat","Veal, roasted, lean and fat eaten(68.49% match #23210020); Pork, NS as to cut, fried, lean and fat eaten(65.88% match #22000210); Pork chop, broiled or baked, lean and fat eaten(64.37% match #22101110); "
"Pork, belly joint/slices, raw, lean and fat, weighed with bone",
"Pork, belly joint/slices, raw, lean and fat","Pork chop, broiled or baked, lean and fat eaten(62.22% match #22101110); "
"Pork, fat, cooked","Pork, pigs feet, cooked(80.0% match #22707010); Roe, shad, cooked(70.59% match #26207110); Turkey, back, cooked(70.27% match #24205100); "
"Pork, extra trimmed fat, raw",
"Pork, trimmed fat, raw",
"Pork, extra trimmed lean, raw",
"Pork, spare rib joint, raw, lean and fat, weighed with bone","Pork, spareribs, cooked, lean and fat eaten(66.67% match #22701010); Pork, spareribs, barbecued, with sauce, lean and fat eaten(61.54% match #22701040); "
"Pork, chump chops, fried, lean and fat","Pork chop, fried, lean and fat eaten(81.08% match #22101210); Pork chop, fried, lean only eaten(76.06% match #22101220); Pork chop, stewed, lean and fat eaten(72.0% match #22101510); "
"Pork, leg joint, roasted well done, lean",
"Pork, loin chops, barbecued, lean","Pork chop, fried, lean only eaten(60.61% match #22101220); Pork, tenderloin, battered, fried(60.61% match #22210450); Lamb, loin chop, cooked, lean only eaten(60.27% match #23104020); "
"Pork, loin chops, raw, lean and fat, weighed with bone","Pork chop, fried, lean and fat eaten(66.67% match #22101210); Pork chop, stewed, lean and fat eaten(65.93% match #22101510); Lamb, loin chop, cooked, lean and fat eaten(63.92% match #23104010); "
"Pork, loin chops, raw, lean and fat","Pork chop, fried, lean and fat eaten(73.24% match #22101210); Pork chop, stewed, lean and fat eaten(72.22% match #22101510); Lamb, loin chop, cooked, lean and fat eaten(69.23% match #23104010); "
"Pork, leg joint, frozen, roasted, lean and fat","Pork, NS as to cut, fried, lean and fat eaten(63.74% match #22000210); Pork chop, fried, lean and fat eaten(63.41% match #22101210); Pork, spareribs, cooked, lean and fat eaten(62.92% match #22701010); "
"Pork, crackling, cooked","Pork, cracklings, cooked(97.87% match #22704010); Pork, neck bones, cooked(72.34% match #22706010); Turkey, back, cooked(69.77% match #24205100); "
"Pork, leg joint, roasted well done, lean and fat","Beef, roast, roasted, lean and fat eaten(61.36% match #21401110); Pork chop, stewed, lean and fat eaten(61.18% match #22101510); "
"Pork, diced, slow-cooked, lean","Corn, dried, cooked(65.31% match #75216070); Prune, dried, cooked, unsweetened(63.49% match #62122220); Prune, dried, uncooked(61.54% match #62122100); "
"Pork, leg joint, microwaved, lean and fat","Pork roast, loin, cooked, lean and fat eaten(70.59% match #22401010); Pork, spareribs, cooked, lean and fat eaten(66.67% match #22701010); Pork chop, broiled or baked, lean and fat eaten(63.64% match #22101110); "
"Pork, leg joint, microwaved, lean",
"Pork, leg joint, raw, lean",
"Pork, hand, shoulder joint, roasted, lean and fat","Pork roast, shoulder, cooked, lean and fat eaten(72.16% match #22411010); Pork roast, shoulder, cooked, lean only eaten(68.09% match #22411020); Lamb, shoulder chop, cooked, lean and fat eaten(66.67% match #23107010); "
"Pork, hand, shoulder joint, pressure cooked, lean and fat","Pork roast, shoulder, cooked, lean and fat eaten(72.38% match #22411010); Pork roast, shoulder, cooked, lean only eaten(68.63% match #22411020); Lamb, shoulder chop, cooked, lean and fat eaten(67.31% match #23107010); "
"Pork, hand, shoulder joint, pressure cooked, lean","Pork roast, shoulder, cooked, lean only eaten(63.83% match #22411020); "
"Pork, hand, shoulder joint, raw, lean and fat","Pork roast, shoulder, cooked, lean and fat eaten(68.82% match #22411010); Pork roast, shoulder, cooked, lean only eaten(64.44% match #22411020); Lamb, shoulder chop, cooked, lean and fat eaten(63.04% match #23107010); "
"Pork, hand, shoulder joint, raw, lean",
"Pork, fillet strips, stir-fried, lean",
"Pork, diced, slow-cooked, lean and fat","Pork, spareribs, cooked, lean and fat eaten(71.6% match #22701010); Pork roast, smoked or cured, cooked, lean and fat eaten(68.82% match #22421010); Pork, spareribs, cooked, lean only eaten(66.67% match #22701020); "
"Pork, fillet slices, grilled, lean and fat","Pork, NS as to cut, fried, lean and fat eaten(66.67% match #22000210); Pork chop, fried, lean and fat eaten(64.1% match #22101210); Veal cutlet or steak, broiled, lean and fat eaten(61.54% match #23204210); "
"Pork, fillet slices, grilled, lean",
"Pork, fillet, raw, lean and fat","Pork chop, fried, lean and fat eaten(68.66% match #22101210); Pork chop, stewed, lean and fat eaten(64.71% match #22101510); Pork steak or cutlet, fried, lean and fat eaten(64.1% match #22201210); "
"Pork, hand, shoulder joint, roasted, lean","Pork roast, shoulder, cooked, lean only eaten(62.79% match #22411020); "
"Pork, leg joint, frozen, roasted, lean",
"Rabbit, raw, meat only","Chicken, canned, meat only(62.5% match #24198570); "
"Rabbit, stewed, meat and fat","Veal, roasted, lean and fat eaten(62.3% match #23210020); "
"Rabbit, stewed, meat only","Chicken, canned, meat only(62.75% match #24198570); "
"Rabbit, stewed, meat only, weighed with bone",
"Whole turkey, roasted, weighed with bone",
"Whole turkey, roasted","Chestnuts, roasted(66.67% match #42105000); "
"Turkey, drumsticks, roasted, meat and skin, weighed with bone","Turkey, drumstick, roasted, skin eaten(72.73% match #24202070); Turkey, drumstick, roasted, skin not eaten(69.9% match #24202060); Turkey, drumstick, smoked, cooked, skin eaten(66.04% match #24202120); "
"Turkey, drumsticks, roasted, meat and skin","Turkey, drumstick, roasted, skin eaten(80.0% match #24202070); Turkey, drumstick, roasted, skin not eaten(76.19% match #24202060); Turkey, drumstick, smoked, cooked, skin eaten(71.26% match #24202120); "
"Turkey, drumsticks, roasted, meat only","Turkey, drumstick, roasted, skin eaten(84.21% match #24202070); Turkey, drumstick, cooked, skin not eaten(70.89% match #24202010); Turkey, drumstick, smoked, cooked, skin eaten(67.47% match #24202120); "
"Turkey, skin, moist, roasted","Bread, raisin, toasted(64.0% match #51129020); Turkey, neck, cooked(62.5% match #24202600); Turkey, tail, cooked(62.5% match #24205000); "
"Turkey, skin, dry, roasted","Bread, raisin, toasted(62.5% match #51129020); Turkey, tail, cooked(60.87% match #24205000); Turkey, back, cooked(60.87% match #24205100); "
"Turkey, meat, average, roasted","Turkey, dark meat, roasted, skin eaten(61.76% match #24201230); "
"Turkey, dark meat, roasted","Turkey, dark meat, roasted, skin eaten(81.25% match #24201230); Turkey, light and dark meat, roasted, skin eaten(70.27% match #24201330); Bread, oatmeal, toasted(65.31% match #51501020); "
"Turkey, light meat, roasted","Turkey, light meat, roasted, skin eaten(81.82% match #24201130); Turkey, light meat, roasted, NS as to skin eaten(72.0% match #24201110); Turkey, light and dark meat, roasted, skin eaten(72.0% match #24201330); "
"Turkey, meat, average, raw",
"Turkey, strips, stir-fried","Turkey, tail, cooked(60.87% match #24205000); "
"Turkey, light meat, self-basting, roasted","Turkey, light meat, cooked, skin eaten(68.35% match #24201030); Turkey, light meat, roasted, skin eaten(67.5% match #24201130); Turkey, light or dark meat, stewed, skin not eaten(65.93% match #24201410); "
"Turkey, light meat, raw","Turkey, light meat, roasted, skin eaten(70.97% match #24201130); Turkey, light meat, roasted, skin not eaten(66.67% match #24201120); Turkey, light and dark meat, roasted, skin eaten(61.97% match #24201330); "
"Turkey, skin, raw","Turnip, raw(64.29% match #75129000); Tuna, fresh, raw(60.61% match #26153100); "
"Whole turkey, raw","Celery, raw(64.29% match #75109000); Lettuce, raw(62.07% match #75113000); Onions, mature, raw(61.11% match #75117020); "
"Whole turkey, raw, weighed with bone",
"Turkey, mince, stewed","Turkey, neck, cooked(68.29% match #24202600); Turkey, wing, cooked, skin eaten(64.15% match #24203020); Turkey, tail, cooked(63.41% match #24205000); "
"Turkey, thighs, diced, casseroled, meat only","Turkey, thigh, cooked, skin eaten(67.53% match #24202460); Turkey, thigh, cooked, skin not eaten(66.67% match #24202500); Turkey, wing, smoked, cooked, skin eaten(61.9% match #24203120); "
"Turkey, breast, fillet, grilled, meat only",
"Turkey, dark meat, raw","Turkey, dark meat, roasted, skin eaten(70.0% match #24201230); "
"Veal, mince, raw","Salmon, raw(66.67% match #26137100); Nectarine, raw(66.67% match #63131010); Garlic, raw(66.67% match #75111500); "
"Veal, mince, stewed","Venisondeer, stewed(68.42% match #23322400); Bread, rice, toasted(66.67% match #51806020); "
"Veal, escalope, raw","Veal scallopini(64.71% match #27135020); Pear, Japanese, raw(63.16% match #63137050); Peas, green, raw(62.86% match #75120000); "
"Veal, escalope, fried","Veal scallopini(66.67% match #27135020); Pie, apple, fried pie(61.9% match #53301080); "
"Venison, raw","Lemon, raw(72.73% match #61113010); Persimmon, raw(69.23% match #63139010); Corn, raw(66.67% match #75109600); "
"Venison, roast","Venisondeer, roasted(82.35% match #23321100); Venisondeer, stewed(66.67% match #23322400); Bread, onion, toasted(62.86% match #51121120); "
"Venison, casseroled, meat only","Chicken, canned, meat only(67.86% match #24198570); "
"Chicken tikka, chilled, reheated","Chicken, chicken roll, roasted(67.74% match #24198670); "
"Grillsteaks, beef, chilled/frozen, grilled",
"Cheeseburger, takeaway","Cheese, Limburger(61.54% match #14106010); Cheeseburger, plain, on bun(61.22% match #27510210); "
Whopper burger,
"Quarterpounder with cheese, takeaway",
"Hamburger, takeaway",
"Beefburgers, chilled/frozen, raw",
"Economy burgers, frozen, grilled",
"Economy burgers, frozen, raw",
"Beefburgers, chilled/frozen, grilled",
"Beefburgers, chilled/frozen, fried",
"Chicken burger, takeaway","Chicken curry(64.86% match #27146150); Chicken liver, braised(60.87% match #25110420); "
Big Mac,
"Channel Island milk, semi-skimmed, UHT",
"Channel Island milk, whole, pasteurised, winter",
"Channel Island milk, whole, pasteurised",
"Channel Island milk, whole, pasteurised, summer",
"Cheese, goats milk soft, full fat, white rind",
"Cheese, Brie","Cheese, Brie(100.0% match #14103020); Cheese, cream(80.0% match #14301010); Cheese, Gruyere(74.07% match #14105200); "
"Cheese, Camembert","Cheese, Camembert(100.0% match #14103010); Cheese, Limburger(70.59% match #14106010); Cheese, Colby(66.67% match #14104200); "
"Cheese, cheddar, English","Cheese, Cheddar(71.79% match #14104100); Cheese, Cheddar, reduced sodium(61.82% match #14110010); "
"Cheese, Cheddar, vegetarian","Cheese, Cheddar, reduced fat(72.73% match #14104110); Cheese, Cheddar, reduced sodium(68.97% match #14110010); Cheese, American(60.47% match #14410110); "
